2025-09-05 23:42:58 | Ogretm4 | MIDWIFE | None
2025-09-05 23:43:10 | Ogretm4 | MIDWIFE | None
2025-09-05 23:43:43 | Ogretm4 | MIDWIFE | None
2025-09-05 23:43:45 | Ogretm4 | MIDWIFE | None
2025-09-05 23:43:45 | Ogretm4 | MIDWIFE | None
2025-09-05 23:56:53 | Ogretm4 | MIDWIFE | None
2025-09-06 00:02:57 | Ogretm4 | MIDWIFE | None
2025-09-06 00:03:00 | Ogretm4 | MIDWIFE | None
2025-09-06 00:03:05 | Ogretm4 | MIDWIFE | None
2025-09-06 00:05:48 | Ogretm4 | MIDWIFE | None
2025-09-06 00:05:54 | Ogretm4 | MIDWIFE | None
2025-09-06 00:08:14 | Ogretm4 | MIDWIFE | None
2025-09-06 00:08:23 | Ogretm4 | MIDWIFE | None
2025-09-06 00:10:14 | Ogretm4 | MIDWIFE | None
2025-09-06 00:10:31 | Ogretm4 | MIDWIFE | None
2025-09-06 00:10:51 | Admin | ADMIN | None
2025-09-06 00:11:02 | Admin | ADMIN | None
2025-09-06 00:23:32 | Admin | ADMIN | packs/LOGS/logs.py
2025-09-06 00:24:36 | Ogretm4 | MIDWIFE | None
2025-09-06 00:24:48 | Ogretm4 | MIDWIFE | None
2025-09-06 00:24:52 | Ogretm4 | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 00:24:54 | Ogretm4 | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 00:24:56 | Ogretm4 | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 00:24:57 | Ogretm4 | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 00:24:59 | Ogretm4 | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-06 00:25:19 | Ogretm4 | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-06 00:25:20 | Ogretm4 | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 00:25:21 | Ogretm4 | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 00:25:24 | Ogretm4 | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 00:25:39 | Ogretm4 | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 01:55:40 | Admin | MIDWIFE | None
2025-09-06 01:55:57 | Admin | MIDWIFE | None
2025-09-06 01:56:01 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 01:56:04 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 01:56:06 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 01:56:07 | Admin | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 01:56:09 | Admin | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-06 01:56:14 | Admin | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-06 01:56:15 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 01:56:24 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 01:56:51 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 01:56:53 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 01:58:49 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 01:58:51 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 01:58:55 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 01:58:57 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 02:01:36 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 02:01:41 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 02:01:42 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 02:01:44 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 02:01:59 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 02:02:00 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 02:02:17 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 02:02:20 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 02:03:11 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 02:03:49 | Admin | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 02:04:32 | Admin | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-06 02:04:37 | Admin | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-06 02:04:39 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 02:04:41 | Admin | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 02:04:42 | Admin | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 02:04:45 | Admin | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 02:04:49 | Admin | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-06 02:04:54 | Admin | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-06 02:05:38 | Admin | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 02:06:28 | Ogretm | ADMIN | None
2025-09-06 02:07:21 | Ogretm | ADMIN | None
2025-09-06 02:10:06 | Ogretm | ADMIN | packs/LOGS/logs.py
2025-09-06 02:10:11 | Ogretm | ADMIN | packs/LOGS/logs.py
2025-09-06 02:10:16 | Ogretm | ADMIN | packs/LOGS/logs.py
2025-09-06 02:17:24 | Ogretm | ADMIN | packs/LOGS/logs.py
2025-09-06 02:17:28 | Ogretm | ADMIN | packs/LOGS/logs.py
2025-09-06 02:17:33 | Ogretm | ADMIN | packs/ADMIN/ADMIN_01_Admin_Dashboard.py
2025-09-06 02:17:48 | Ogretm | ADMIN | packs/ADMIN/ADMIN_02_Admin_Hashing.py
2025-09-06 02:18:08 | Ogretm | ADMIN | packs/ADMIN/ADMIN_03_Admin_Logs.py
2025-09-06 02:18:11 | Ogretm | ADMIN | packs/ADMIN/ADMIN_04_Admin_Logs_Visualisation.py
2025-09-06 02:18:39 | Ogretm | ADMIN | packs/ADMIN/ADMIN_05_Admin_Roles.py
2025-09-06 02:19:06 | Ogretm | ADMIN | packs/ADMIN/ADMIN_06_Admin_Settings.py
2025-09-06 02:19:37 | Ogretm | ADMIN | packs/ADMIN/ADMIN_07_Admin_Users.py
2025-09-06 02:19:41 | Ogretm | ADMIN | packs/ADMIN/ADMIN_05_Admin_Roles.py
2025-09-06 02:20:27 | Ogretm | ADMIN | packs/ADMIN/ADMIN_08_Admin_Visualisation.py
2025-09-06 02:20:30 | Ogretm | ADMIN | packs/ADMIN/ADMIN___init__.py
2025-09-06 02:20:33 | Ogretm | ADMIN | packs/ADMIN/ADMIN_01_Admin_Dashboard.py
2025-09-06 02:20:37 | Ogretm | ADMIN | packs/ADMIN/ADMIN_02_Admin_Hashing.py
2025-09-06 02:20:38 | Ogretm | ADMIN | packs/ADMIN/ADMIN_04_Admin_Logs_Visualisation.py
2025-09-06 02:57:24 | Admin | ADMIN | None
2025-09-06 02:57:35 | Admin | ADMIN | None
2025-09-06 02:57:44 | Admin | ADMIN | packs/ADMIN/ADMIN_01_Admin_Dashboard.py
2025-09-06 02:57:48 | Admin | ADMIN | packs/ADMIN/ADMIN_01_Admin_Dashboard.py
2025-09-06 02:57:58 | Admin | ADMIN | packs/ADMIN/ADMIN_02_Admin_Hashing.py
2025-09-06 02:58:14 | Admin | ADMIN | packs/ADMIN/ADMIN_03_Admin_Logs.py
2025-09-06 02:58:23 | Admin | ADMIN | packs/ADMIN/ADMIN_03_Admin_Logs.py
2025-09-06 02:58:30 | Admin | ADMIN | packs/ADMIN/ADMIN_04_Admin_Logs_Visualisation.py
2025-09-06 02:58:31 | Admin | ADMIN | packs/ADMIN/ADMIN_04_Admin_Logs_Visualisation.py
2025-09-06 02:58:40 | Admin | ADMIN | packs/ADMIN/ADMIN_05_Admin_Roles.py
2025-09-06 02:58:47 | Admin | ADMIN | packs/ADMIN/ADMIN_06_Admin_Settings.py
2025-09-06 02:58:51 | Admin | ADMIN | packs/ADMIN/ADMIN_07_Admin_Users.py
2025-09-06 02:59:09 | Admin | ADMIN | packs/ADMIN/ADMIN_08_Admin_Visualisation.py
2025-09-06 03:03:42 | Admin | ADMIN | packs/LOGS/logs.py
2025-09-06 03:04:20 | Admin | ADMIN | packs/LOGS/logs.py
2025-09-06 03:04:32 | Ogretm | MIDWIFE | None
2025-09-06 03:04:44 | Ogretm | MIDWIFE | None
2025-09-06 03:04:45 | Ogretm | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 03:04:47 | Ogretm | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 03:04:49 | Ogretm | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
2025-09-06 03:04:51 | Ogretm | MIDWIFE | packs/MIDWIFE/MIDWIFE___init__.py
2025-09-06 03:06:26 | Ogretm | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 03:07:24 | Admin | ADMIN | None
2025-09-06 03:07:30 | Admin | ADMIN | None
2025-09-06 03:08:05 | Admin | ADMIN | packs/ADMIN/ADMIN_04_Admin_Logs_Visualisation.py
2025-09-06 03:08:08 | Admin | ADMIN | packs/ADMIN/ADMIN_07_Admin_Users.py
2025-09-06 03:08:11 | Admin | ADMIN | packs/ADMIN/ADMIN_06_Admin_Settings.py
2025-09-06 03:08:14 | Admin | ADMIN | packs/ADMIN/ADMIN_05_Admin_Roles.py
2025-09-06 14:39:39 | Ogretm4 | MIDWIFE | None
2025-09-06 14:39:47 | Ogretm4 | MIDWIFE | None
2025-09-06 14:40:00 | Ogretm4 | MIDWIFE | packs/MIDWIFE/26_Demographics.py
2025-09-06 14:40:10 | Ogretm4 | MIDWIFE | packs/MIDWIFE/27_PrenatalCare.py
2025-09-06 14:40:20 | Ogretm4 | MIDWIFE | packs/MIDWIFE/28_IntrapartumCare.py
2025-09-06 14:41:01 | Ogretm4 | MIDWIFE | packs/MIDWIFE/29_PostNatalCare.py
2025-09-06 14:41:17 | Ogretm4 | MIDWIFE | packs/MIDWIFE/30_ThroughoutCare.py
