[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTOR' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'NURSE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'NURSE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'NURSE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MIDWIFE' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'STUDENT' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'STUDENT' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'STUDENT' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'STUDENT' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'STUDENT' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTORAL' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTORAL' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTORAL' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTORAL' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'DOCTORAL' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'INTERN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'INTERN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'INTERN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'INTERN' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MESSAGES' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MESSAGES' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MESSAGES' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MESSAGES' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'MESSAGES' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ORGANISATION' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ORGANISATION' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ORGANISATION' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ORGANISATION' with role 'ADMIN'
[2025-09-14 03:58:33] User: Admin User | Event: Access Granted | Details: User accessed pack 'ORGANISATION' with role 'ADMIN'
[2025-09-14 03:58:34] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
[2025-09-14 03:58:34] User: Admin User | Event: Access Granted | Details: User accessed pack 'ADMIN' with role 'ADMIN'
